specimen,tree,type,Cre,Layer,image_series_id.x,target,color,id,Injection Target 1,AP.x,ML,DV,image_series_id.y,FRP,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIv,AIp,GU,VISC,TEa,PERI,ECT,SSs,SSp-bfd,SSp-tr,SSp-ll,SSp-ul,SSp-un,SSp-n,SSp-m,MOp,MOs,VISal,VISl,VISp,VISpl,VISli,VISpor,VISrl,VISa,VISam,VISpm,RSPagl,RSPd,RSPv,AUDd,AUDp,AUDpo,AUDv,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,FC,IG,ENTl,ENTm,PAR,POST,PRE,SUB,ProS,HATA,APr,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,SH,AAA,BA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,BAC,VAL,VM,VPL,VPLpc,VPM,VPMpc,PoT,SPFm,SPFp,SPA,PP,MG,LGd,LP,PO,POL,SGN,AV,AM,AD,IAM,IAD,LD,IMD,MD,SMT,PR,PVT,PT,RE,Xi,RH,CM,PCN,CL,PF,PIL,RT,IGL,IntG,LGv,SubG,MH,LH,SO,ASO,PVH,PVa,PVi,ARH,ADP,AVP,AVPV,DMH,MEPO,MPO,OV,PD,PS,PVp,PVpo,SBPV,SCH,SFO,VMPO,VLPO,AHN,LM,MM,SUM,TMd,TMv,MPN,PMd,PMv,PVHd,VMH,PH,LHA,LPO,PST,PSTN,PeF,RCH,STN,TU,ZI,ME,SCs,IC,NB,SAG,PBG,MEV,SCO,SNr,VTA,PN,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,OP,PPT,CUN,RN,III,MA3,EW,IV,Pa4,VTN,AT,LT,DT,MT,SNc,PPN,IF,IPN,RL,CLI,DR,NLL,PSV,PB,SOC,B,DTN,PDTg,PCG,PG,PRNc,SG,SUT,TRN,V,P5,Acs5,PC5,I5,CS,LC,LDT,NI,PRNr,RPO,SLC,SLD,AP.y,DCO,VCO,CU,GR,ECU,NTB,NTS,SPVC,SPVI,SPVO,Pa5,VI,VII,ACVII,AMB,DMX,GRN,ICB,IO,IRN,ISN,LIN,LRN,MARN,MDRNd,MDRNv,PARN,PAS,PGRNd,PGRNl,NR,PRP,PPY,LAV,MV,SPIV,SUV,x,XII,y,RM,RPA,RO,LING,CENT,CUL,DEC,FOTU,PYR,UVU,NOD,SIM,AN,PRM,COPY,PFL,FL,FN,IP,DN,VeCB
Sst-IRES-Cre;Ai148-380969,1,IN,Sst,pan,714547490,ACAd,#FF0000FF,380969,ACAd,0.26,0.27,0.6,714547490,0,0.056579235,0.027379679,0,0,0.015667946,0,0.003696111,0,0.001138328,0,0,0,4.08e-5,2.58e-5,0,0,0,0,0,0,0,0,0,0,0.037821254,1.78e-4,1.74e-5,3.65e-4,0,0,3.97e-5,9.17e-4,1.65e-4,3.85e-4,3.33e-5,2.48e-4,0.002503651,0.00591383,0,0,0,0,0,0,0,0,0,0,0,0,5.38e-5,0,0,0,0,0,0,0,0,2.52e-4,0,0,0,0,0,0,0,0,3.06e-4,0,0,0,0,0,0,0,0,0,0,1.25e-5,0,0,8.54e-6,4.52e-6,0,0,0,0,0,0,0,0,1.07e-5,0,0,7.87e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24e-5,0,0,0,1.73e-5,0,1.36e-6,0,0,0,0,3.34e-5,0,2.53e-6,0,0,1.2e-4,0,0,0,0,0,0,0,1.06e-4,0,0,0,0,0,0,0,0,0,0,0,8.43e-6,0,0,0,0,0,0,0,0,2.08e-5,0,0,3.81e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43e-5,0,0,0,0,0,0,2.13e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6700000000000007e-05,0,0,0,0,0,0,6.76e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68e-4,0,0,4.38e-5,0,0,0,0,0,0,0,0,0,0,0,1.22e-5,0,0,0,0,0,9.11e-7,0,0,0,0,0,0,0,0,0,3.35e-5,0,0,0,3.71e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46e-5,2.31e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlx3-Cre_PL56-564650,1,PN,Tlx,L5,1091745970,ACAd,#FF0000FF,564650,ACAd,0.74,0.25,0.6,1091745970,0,0.062927209,0.025636863,0.001555432,0,0.009261117,0,0.005462856,0,0.001976667,0,0,0,4.87e-5,9.23e-5,1.03e-4,0,0,0,0,0,0,0,0,0,0.024177486,2.7e-4,1.44e-4,2.76e-4,0,0,4.34e-5,7.39e-4,4.39e-4,3.3e-4,2.57e-4,1.15e-4,0.002250913,0.01005594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001398268,0,0,0,0,0,0,0,0,8.26e-4,0,2.89e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12e-5,0,4.21e-6,0,0,0,0,0,0,0,0,4.94e-5,0,7.44e-5,0,0,0,0,0,0,0,0,0,0,0,0,8.47e-7,0,0,0,0,0,0,0,0,2.74e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85e-5,0,2.92e-5,0,0,0,0,1.72e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61e-6,0,0,0,0,1.01e-4,0,0,0,0,1.12e-5,0,0,2.32e-5,0,0,0,0,0,0,0,0,0,0,5.67e-4,0,0,1.93e-5,1.55e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vip-IRES-Cre;Sst-IRES-FlpO;Ai65-384120,1,IN,Vip,pan,724640132,ACAd,#FF0000FF,384120,ACAd,0.26,0.27,0.6,724640132,0,0.05534182,0.030072898,0.001885819,0,0.006682551,0,0.002210625,0,8.45e-4,0,0,0,0,4.32e-6,0,0,0,0,0,0,0,0,0,0,0.014568712,0,0,1.96e-4,0,0,0,2.24e-4,1.21e-4,3.33e-5,1.77e-8,1.33e-4,0.001960049,0.007205947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57e-5,0,7.47e-5,0,0,0,0,0,0,0,0,1.01e-4,2.1e-5,5.5e-6,6.94e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91e-4,1.04e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-5,0,0,0,0,0,0,0,0,0,1.16e-4,0,0,0,0,0,0,0,0,0.001003671,0,0,0,9.66e-6,2.62e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A930038C07Rik-Tg1-Cre-381248,1,PN,A93,L5,711357362,ACAd,#FF0000FF,381248,ACAd,0.26,0.27,0.6,711357362,0,0.039221513,0.031270283,0.002054842,1.15e-4,0.004336896,0.0014748,0.004164583,2.89e-4,0.001351486,3.87e-6,0,0,5.07e-4,4.81e-4,6.94e-4,0,0,6.62e-5,0,4.64e-7,0,0,0,7.76e-4,0.022174708,4.49e-4,6.59e-4,0.001085003,1.73e-4,1.44e-4,4.02e-4,0.001261426,0.001050367,0.001885117,8.99e-4,0.002857407,0.011994302,0.019939771,3.91e-5,0,1.29e-4,2.08e-5,0,0,2.61e-4,0,0,1.1e-4,1.69e-6,0,0,0,0,0,0,0,0,2.99e-5,0,0.003374102,8.23e-4,0,0,0,4.68e-5,0,0,0,0.001235847,0,2.63e-5,0,2.28e-4,1.16e-5,0,0,0,0,0,0,0,0,0,7.78e-7,7.9e-6,0,0,0,0,0,0,0,2.45e-6,3.29e-5,4.92e-4,0,0,0,0,5.78e-7,0,0,0,0,0,0,0,4.3e-7,0,0,0,0,0,0,0,0,5.03e-5,0,8.19e-7,9e-10,0,2.56e-5,0,3.76e-6,0,2.13e-5,0,1.54e-4,1.65e-4,1.85e-4,1.44e-5,0,0,0,0,0,0,0,0,0,0,0,2.72e-5,0,0,0,1.97e-5,6.74e-6,0,0,0,6.52e-5,0,0,0,0,0,5.26e-6,0,0,0,0,0,1.65e-6,2.87e-5,1.19e-6,1.08e-5,4.69e-5,7.81e-7,0,0,2.8e-6,0,0,1.44e-5,1.28e-4,2.41e-4,3.05e-6,0,0,4.99e-6,0,0,9.07e-6,2.3e-5,0,0,0,0,0,0,0,0,0,0,0,0,7.93e-5,0,6.18e-6,1.84e-5,0,0,1.62e-6,0,2.29e-6,0,0,0,3.21e-6,7.15e-6,0,0,0,0,0,0,0,0,1.66e-6,0,2.83e-5,1.27e-5,0,3.67e-5,0,0,6.45e-6,0,0,0,1.4e-7,3.71e-5,0,0,0,0,3.11e-5,0,0,0,0,0,7.03e-4,5.64e-6,1.48e-5,5.89e-5,1.12e-4,7.46e-5,1.02e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99e-6,0,0,2.14e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88e-5,0,0,2.91e-6,1.93e-5,8.62e-6,0
Cux2-IRES-Cre-378029,1,PN,Cux,L2,689174351,ACAd,#FF0000FF,378029,ACAd,0.26,0.27,0.6,689174351,0,0.045608471,0.032186137,0.003658869,2.48e-5,0.010085017,0.002302863,0.00724834,2.92e-4,0.002527018,1.8e-4,0,8.55e-5,5.75e-4,5.72e-4,0.001374299,0,2.11e-4,1.87e-4,1.35e-4,5.17e-6,0,0,0,7.01e-4,0.030220882,4.11e-4,2.8e-4,0.001107524,1.13e-4,5.22e-5,7.56e-4,0.001147043,9.42e-4,0.001251439,7.47e-4,0.002536813,0.008525248,0.014864126,1.55e-4,1.41e-4,1.43e-4,1.85e-4,0,0,0,1.54e-5,2.32e-5,3.27e-4,0,4.5e-8,6.95e-5,0,0,0,0,0,0,0,8.12e-5,0.007340458,6.96e-4,0,0,0,0,0,2.12e-7,0,0.001888493,4.25e-6,9.25e-5,1.79e-5,6.18e-4,8.49e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22e-5,0,1.85e-4,0,0,0,0,1.86e-5,0,0,0,0,0,0,0,0,0,0,0,4.12e-5,0,0,0,0,3.91e-5,0,0,3.85e-6,1.58e-5,1.49e-6,4.7e-5,6.8e-8,0,0,0,8.25e-5,8.44e-5,1.41e-5,0,1.46e-7,3.92e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87e-5,1.01e-5,0,0,0,7.37e-5,0,6e-6,0,0,0,4.78e-6,0,0,0,0,0,0,2.06e-6,0,8e-5,2.71e-5,0,0,0,7.04e-6,1.94e-5,1.3e-6,1.65e-5,2.38e-5,1.69e-4,0,1.36e-6,2.58e-5,2.63e-5,0,0,0,4.66e-5,0,0,0,0,0,0,0,0,0,0,0,0,4.13e-5,0,2.55e-5,1.44e-5,0,0,0,0,0,0,1.18e-5,0,0,1.34e-7,0,0,0,0,0,0,0,0,0,8.24e-6,2.71e-5,1.97e-5,0,9.67e-5,0,0,9.68e-6,0,0,0,1.42e-5,5.66e-5,0,6.16e-5,0,0,0,0,0,0,0,0,7.64e-4,8.99e-7,3.87e-5,1.18e-4,1.15e-4,1.7e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36e-5,0,0
Cux2-IRES-Cre-435558,1,PN,Cux,L2,859013135,ACAv,#FF00BFFF,435558,ACAv-1,0.26,0.25,1.25,859013135,0,0.052239809,0.064514281,0.005135497,1.63e-4,0.00597262,0.001833983,0.005142166,0,0.002085591,0,0,0,5.87e-4,2.12e-4,2.04e-4,0,0,4.53e-5,6.14e-6,0,0,0,0,6.71e-6,0.020892305,2.06e-4,2.52e-4,4.77e-4,1.95e-4,5.97e-6,2.6e-4,6.59e-4,2.92e-4,0.001014505,4.96e-4,0.002180741,0.004624046,0.011946852,0,0,3.31e-5,5.28e-5,0,0,0,9.65e-6,0,0,0,2.24e-5,4.07e-6,2.8e-6,0,0,0,0,0,0,1.34e-6,0.004041894,5.05e-4,0,0,0,2.89e-4,4.21e-5,0,0,0.001588,2.43e-6,3.61e-5,0,3.06e-4,1.04e-4,3.33e-6,0,0,0,0,0,0,0,2.03e-5,2.42e-6,0,0,0,0,0,0,0,0,3.43e-5,7.19e-6,4.58e-4,1.48e-5,0,0,3.02e-5,2.14e-5,0,0,0,0,0,0,0,0,0,0,0,1.08e-5,0,0,0,1.81e-5,2.73e-4,1.08e-4,0,8.92e-5,0,3.9e-7,1.37e-4,1.57e-6,2.27e-5,2.22e-5,0,8.77e-5,1.75e-4,2.67e-5,0,0,6.45e-6,6.36e-6,0,1.21e-4,0,1.71e-6,0,0,0,6.31e-6,0,0,0,0,0,6.59e-6,0,0,0,8.18e-5,0,1.26e-5,0,0,0,0,0,0,0,0,0,4.54e-6,1.84e-6,3.06e-5,3.71e-5,4.02e-5,0,0,0,4.2e-6,2.41e-5,9.99e-6,2.46e-5,9.1e-5,9.72e-5,5.1e-5,0,0,0,0,0,4.49e-5,6.71e-5,0,0,0,0,0,0,0,0,0,4.47e-6,0,0,8.27e-5,0,6.16e-5,0,0,0,1.22e-5,0,0,0,1.08e-5,0,0,0,1.15e-5,0,0,6.15e-6,0,0,0,0,0,7.86e-6,0,5.17e-6,0,6.83e-5,0,0,1.51e-6,0,3.32e-6,0,1.47e-6,1.69e-4,0,8.78e-6,0,0,5.08e-5,0,0,0,0,0,3.86e-4,1.32e-5,9.12e-5,5.77e-5,1.26e-4,3.66e-5,0,0,0,0,0,0,0,0,0,0,0,0,1.73e-6,0,0,0,0,0,0,0,0,0,0,0,0,8.73e-6,0,0,0,0,0,0,7.77e-7,0,6.94e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55e-5,5.84e-5,0,0
Sepw1-Cre_NP39-407883,1,PN,SepW,L2,775195646,ACAd,#FF0000FF,407883,ACAd,0.26,0.27,0.6,775195646,0,0.065835463,0.085491037,0.006102109,2.31e-5,0.007799595,0.0019503,0.004178119,0,0.003700893,0,0,0,4.01e-4,1.92e-4,2.11e-4,0,0,0,0,0,0,0,0,0,0.015959718,2.18e-4,1.73e-4,2.68e-4,2.01e-4,0,1.22e-4,6.5e-4,3.49e-4,7.07e-4,1.73e-4,0.002067672,0.005041958,0.009556033,0,0,4.56e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83e-5,0.00413855,2.09e-4,0,0,0,0,0,0,0,6.61e-4,0,9e-5,0,1.62e-4,3.56e-5,0,0,0,0,0,0,0,0,0,7.37e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51e-5,0,1.68e-5,1.17e-6,0,0,0,7.96e-6,0,5.93e-5,0,1.37e-5,6.69e-5,0,7.49e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72e-5,0,0,0,0,0,8.08e-6,0,3.66e-7,5.56e-5,0,0,0,0,1.42e-5,0,0,0,6.32e-6,0,0,0,0,0,0,0,0,0,0,0,3.62e-22,0,0,7.26e-5,9.52e-6,0,1.09e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79e-6,0,0,0,0,0,0,0,0,2.24e-4,0,0,3.62e-6,6.53e-5,3.21e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A930038C07Rik-Tg1-Cre-390992,1,PN,A93,L5,742738607,ACAd,#FF0000FF,390992,ACAd,0.26,0.27,0.6,742738607,0,0.056420665,0.044785854,0.006962359,1.62e-4,0.006522609,0.002645247,0.006297186,7.87e-4,0.004321153,0,0,0,1.02e-4,1.93e-4,2.23e-4,0,0,2.82e-5,2.12e-5,0,0,0,0,4.27e-5,0.020584533,3.26e-4,1.28e-4,2.71e-4,0,0,4.09e-5,5.75e-4,7.51e-4,0.001440139,3.17e-4,0.001660493,0.006033226,0.012263541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002743538,4.18e-4,0,0,0,0,0,0,0,1.06e-4,0,0,0,1.38e-4,1.11e-5,0,0,0,0,0,0,7.62e-6,0,0,0,0,0,0,0,0,0,0,0,2.43e-5,1.21e-5,1.17e-5,0,0,0,1.87e-6,3.2e-5,0,0,0,0,0,0,0,1.63e-6,0,0,0,0,0,0,0,0,1.18e-4,0,1.95e-5,9.27e-6,0,5.82e-6,2.28e-5,3.65e-5,3.31e-5,8.37e-5,1.49e-5,1.91e-4,1.83e-4,9.77e-6,1.36e-4,0,2.32e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31e-5,7.67e-6,0,0,0,0,0,0,0,0,0,0,0,1.77e-5,0,3.83e-5,2.96e-5,0,0,0,0,0,2.17e-5,3.73e-5,6.74e-5,4.49e-5,0,0,0,3.34e-5,1.07e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e-5,1.32e-5,0,3.64e-5,0,0,0,0,0,0,0,0,0,0,0,0,6.33e-5,0,0,0,0,0,3.34e-4,0,3.55e-5,1.21e-5,8.86e-5,1.54e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37e-6,2.59e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepw1-Cre_NP39-407881,1,PN,SepW,L2,775181535,ACAd,#FF0000FF,407881,ACAd,0.26,0.27,0.6,775181535,0,0.07243527,0.041741459,7.02e-4,0,0.005114101,6.02e-4,0.003290459,0,0.003985556,0,0,0,1.48e-4,3.01e-4,5e-5,0,0,1.41e-6,0,0,0,0,0,0,0.020349779,1.76e-4,1.2e-4,2.86e-4,0,0,2.89e-4,4.38e-4,7.54e-5,6.03e-4,4.57e-4,5.36e-4,0.002661601,0.007999137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25e-5,0.004505765,1.51e-4,0,0,0,0,0,0,0,1.75e-4,0,0,0,2.26e-4,5.92e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22e-5,3.86e-5,0,0,0,0,3.82e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21e-6,0,0,0,0,0,0,0,0,0,0,0,0,1.02e-5,0,1.79e-5,0,0,0,0,0,2.41e-5,0,2.17e-5,5.65e-5,7.86e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71e-5,0,0,0,0,0,0,0,0,0,0,1.47e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6e-7,0,0,0,0,9.45e-7,0,0,1.06e-5,0,8.66e-5,0,0,0,0,0,0,0,0,2.34e-4,0,0,1.83e-4,2.86e-5,6.16e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sst-IRES-Cre-446223,3,IN,Sst,pan,891635739,SSp-tr,yellow,446223,RSPagl,-2.54,1.2,"0.3, 0.6",891635739,0,0.00628812252167119,0.00429635714747402,9.25250946091822e-5,1.05408463322994e-5,6.5978175174113e-4,0,7.1780618769569e-4,0,0,0,0,8.89068697838217e-5,9.2044532806391e-4,1.9170048053188e-4,3.6810908594696e-4,5.4777553778834e-4,0.00165230914053161,0.0207252322842883,0.00629137443304671,0.00178509305887426,4.8869555596285e-4,0,0,0.00727494099662933,0.008061787886564,0.0015374956764585,1.008983273787e-4,0.00133760249721384,0,5.66225569032819e-5,3.55765477756726e-5,0.00178770332878036,0.0232882400654237,0.0123662918775864,0.00231226980561617,0.0295033988624017,0.0226891513466419,0.0118771677079463,0.00366955403811461,1.8220653688419e-4,2.964142154811e-4,7.087518794528e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9462949612267e-4,0,0,0,0,0,0,0,0,3.4529428225602e-4,0,0,0,5.46825231526942e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1017784438868e-5,0,0,0,0,0,0,0,0,0,0,0,0,2.2998676054351e-8,0,0,0,0,0,0,0,0,2.6220887280303e-5,0,0,8.50657328576018e-7,0,0,0,0,0,0,0,1.64682828814121e-5,3.34277331426393e-7,7.19679246204294e-5,0,1.2674750894807e-6,6.2046901211683e-6,0,0,0,0,0,0,0,0,4.18855979520145e-6,0,0,0,0,0,0,0,0,0,1.92428295779107e-7,0,0,0,0,0,0,0,0,0,0,0,0,1.05946798512231e-5,0,0,0,0,0,0,0,0,0,0,1.96109666906932e-5,0,7.63931161390504e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43668859209896e-22,0,0,0,0,0,1.14377329348651e-5,0,0,0,0,0,0,1.15647299960671e-5,0,0,0,2.17373170131468e-5,1.54585237027354e-5,0,2.14192302054336e-5,9.40948098430008e-8,0,0,0,0,0,0,0,8.0181814691432e-4,0,0,1.64442642105559e-5,3.14431643805724e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54583270307726e-6,0,0,0,0,0,0,0,0,1.26379991073735e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A930038C07Rik-Tg1-Cre-440683,3,PN,A93,L5,875264795,RSPagl,#FF6600FF,440683,RSPagl,-2.54,1.2,0.6,875264795,0,0.00399549853837688,0.00892147842773668,0,0,0,0,7.3304846024481e-4,0,0,0,0,0,0.00173299388013815,2.23219314380656e-5,1.2440921307793e-4,0,0,2.0858333848914e-4,0,0,0,0,0,0,4.3640021486341e-4,0.00173724402136023,9.0323697807445e-4,0.0109554030750543,3.754497999476e-4,4.7151132647124e-4,1.1589786779365e-4,0.00252268267825769,0.00297929711271544,0.0172334812707953,0.0159430164368229,0.027698232199205,0.00743811892035031,0.00502586434525332,3.72539499510894e-5,3.7388513676889e-4,6.8904140583094e-4,6.06832756919753e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8652045719219e-4,0,0,0,0,0,0,0,0,2.5636083807526e-4,0,0,0,0,1.38718786327978e-5,0,0,0,0,0,0,0,0,3.34953156298044e-5,0,0,0,0,0,0,0,0,0,1.77046738593497e-5,6.7232794331716e-4,6.1030985531433e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39012512620103e-5,0,0,0,0,0,0,0,0,1.8306240330851e-4,0,9.95397507125619e-5,0,2.78747447962554e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29706416147453e-5,0,0,0,0,0,0,0,0,0,0,7.89903388708289e-5,3.29614263397216e-5,2.44299071125602e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95227613072446e-5,0,4.23504529901674e-5,0,0,0,0,0,2.74113785892928e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24912424974433e-7,0,0,0,0,0,0,0,6.48301947738606e-5,0,0,0,0,0,0,0,0,0,0,4.8021909603446e-4,0,0,6.35212438999623e-6,8.29857555090485e-5,1.75020815546868e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cux2-IRES-Cre-486111,3,PN,Cux,L2,1006981586,RSPagl,#FF6600FF,486111,RSPagl,-2.54,1.2,0.3,1006981586,0,1.6452921292802e-4,0.00453866194471325,0,0,0,0,0,0,0,0,0,0,2.3367380605261e-4,1.9924816653373e-4,0,0,0,0,0,0,0,0,0,0,0,0.00164553350835692,0.00106416544731351,0.00899945516004887,0,2.6257272692917e-4,0,0.0011342755748571,0.00352813195182125,0.00638169003739846,0.00701108833142666,0.0200951473436761,0.00840037891616062,0.00379431195516332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29474932940526e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82028477914547e-5,0,3.53391797560916e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2266090334e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40126450570731e-5,5.1251512684163e-4,0.0016604452886379,0,0,0,0,1.8168979717118e-4,0,0,0,0,0,0
